id_avis,id_client,id_service,note,date_publication
1,474,2,4,2025-01-06
2,233,5,2,2025-01-07
3,252,4,5,2025-01-05
4,197,1,4,2025-01-08
5,252,5,5,2025-01-12
6,299,1,4,2025-01-12
7,194,3,5,2025-01-07
8,148,4,3,2025-01-13
9,259,2,3,2025-01-08
10,206,2,4,2025-01-14
11,103,5,4,2025-01-17
12,15,1,4,2025-01-15
13,161,4,4,2025-01-12
14,268,1,2,2025-01-10
15,255,3,4,2025-01-17
16,226,1,4,2025-01-20
17,416,2,4,2025-01-12
18,209,3,5,2025-01-20
19,329,2,3,2025-01-16
20,304,5,3,2025-01-24
21,94,4,5,2025-01-20
22,115,5,4,2025-01-17
23,210,1,5,2025-01-26
24,466,1,5,2025-01-25
25,22,3,4,2025-01-27
26,409,1,4,2025-01-20
27,241,1,3,2025-01-19
28,14,4,4,2025-01-23
29,332,1,3,2025-01-27
30,222,3,3,2025-01-28
31,454,5,4,2025-01-28
32,258,1,3,2025-01-25
33,301,1,3,2025-01-29
34,250,5,3,2025-01-31
35,494,4,3,2025-01-28
36,321,3,4,2025-01-28
37,292,5,3,2025-01-29
38,434,2,5,2025-02-04
39,263,5,5,2025-02-01
40,250,3,5,2025-01-31
41,240,5,4,2025-02-05
42,10,3,5,2025-02-01
43,435,3,5,2025-02-08
44,191,2,4,2025-02-10
45,85,1,5,2025-02-12
46,339,1,3,2025-02-10
47,207,5,4,2025-02-09
48,398,2,3,2025-02-06
49,372,2,5,2025-02-15
50,64,5,3,2025-02-16
51,378,3,4,2025-02-14
52,287,1,5,2025-02-08
53,383,1,4,2025-02-15
54,79,1,4,2025-02-15
55,15,2,5,2025-02-18
56,244,3,5,2025-02-17
57,326,5,5,2025-02-21
58,461,3,4,2025-02-21
59,175,3,4,2025-02-21
60,366,1,5,2025-02-23
61,127,1,4,2025-02-17
62,229,3,4,2025-02-24
63,192,3,3,2025-02-20
64,144,3,4,2025-02-22
65,16,4,4,2025-02-20
66,418,3,4,2025-02-21
67,348,3,5,2025-02-23
68,370,3,3,2025-02-26
69,398,2,5,2025-03-07
70,196,3,5,2025-03-07
71,451,1,3,2025-03-04
72,305,2,4,2025-03-01
73,30,1,5,2025-03-02
74,170,3,4,2025-03-03
75,169,3,4,2025-03-08
76,379,4,4,2025-03-02
77,454,1,5,2025-03-11
78,42,5,4,2025-03-07
79,238,3,4,2025-03-05
80,121,1,4,2025-03-12
81,479,2,5,2025-03-11
82,319,2,4,2025-03-10
83,61,1,4,2025-03-14
84,169,1,5,2025-03-09
85,98,4,5,2025-03-14
86,120,1,4,2025-03-14
87,237,4,5,2025-03-11
88,192,1,4,2025-03-13
89,256,5,3,2025-03-10
90,169,1,5,2025-03-14
91,74,3,4,2025-03-14
92,322,1,4,2025-03-20
93,462,3,3,2025-03-20
94,189,3,4,2025-03-20
95,380,3,5,2025-03-14
96,329,3,5,2025-03-23
97,228,3,4,2025-03-22
98,321,3,4,2025-03-18
99,335,1,3,2025-03-19
100,418,2,4,2025-03-18
101,275,3,5,2025-03-20
102,262,1,3,2025-03-24
103,372,2,5,2025-03-25
104,143,5,4,2025-03-21
105,213,4,3,2025-03-16
106,478,1,3,2025-03-23
107,85,3,4,2025-03-19
108,247,5,5,2025-03-23
109,226,5,4,2025-03-22
110,482,4,4,2025-03-28
111,302,4,4,2025-03-22
112,310,1,5,2025-03-29
113,488,3,5,2025-03-25
114,1,2,3,2025-03-29
115,102,1,4,2025-03-27
116,109,3,5,2025-03-28
117,56,5,3,2025-03-25
118,4,5,5,2025-03-29
119,249,3,5,2025-03-30
120,456,2,4,2025-03-23
121,474,5,4,2025-03-23
122,100,5,3,2025-03-28
123,367,5,4,2025-04-04
124,489,5,4,2025-03-30
125,252,3,5,2025-03-29
126,439,2,5,2025-03-28
127,437,4,4,2025-03-28
128,303,2,5,2025-04-03
129,187,5,4,2025-04-03
130,303,5,4,2025-04-04
131,415,3,5,2025-04-05
132,100,3,4,2025-04-03
133,406,3,4,2025-03-30
134,440,5,2,2025-04-02
135,475,5,4,2025-03-31
136,360,3,4,2025-04-09
137,266,3,4,2025-04-11
138,106,4,4,2025-04-03
139,485,3,5,2025-04-09
140,296,4,4,2025-04-11
141,311,2,5,2025-04-11
142,69,1,5,2025-04-09
143,357,1,4,2025-04-07
144,262,4,4,2025-04-10
145,223,2,5,2025-04-06
146,312,4,3,2025-04-11
147,93,1,5,2025-04-06
148,305,4,4,2025-04-08
149,182,3,4,2025-04-07
150,483,3,3,2025-04-05
151,486,5,4,2025-04-13
152,472,2,3,2025-04-07
153,330,1,3,2025-04-09
154,435,5,4,2025-04-16
155,182,2,5,2025-04-13
156,79,3,4,2025-04-13
157,381,1,4,2025-04-19
158,492,1,5,2025-04-14
159,205,1,5,2025-04-18
160,246,2,5,2025-04-19
161,362,1,4,2025-04-15
162,10,1,5,2025-04-17
163,157,1,5,2025-04-16
164,164,1,5,2025-04-19
165,95,3,4,2025-04-15
166,380,3,4,2025-04-18
167,67,1,3,2025-04-16
168,453,3,5,2025-04-14
169,230,5,5,2025-04-14
170,498,1,5,2025-04-18
171,446,4,4,2025-04-13
172,288,1,4,2025-04-16
173,448,5,4,2025-04-22
174,274,3,4,2025-04-24
175,167,3,5,2025-04-20
176,210,4,4,2025-04-19
177,6,1,4,2025-04-20
178,498,1,5,2025-04-22
179,418,3,5,2025-04-24
180,352,2,5,2025-04-24
181,466,1,4,2025-04-25
182,246,2,4,2025-04-22
183,64,1,4,2025-04-19
184,453,1,5,2025-04-24
185,449,3,5,2025-04-26
186,373,4,4,2025-04-22
187,186,4,4,2025-04-21
188,435,1,5,2025-04-29
189,437,4,3,2025-04-22
190,370,3,4,2025-05-02
191,83,3,4,2025-05-01
192,500,1,5,2025-04-26
193,380,4,4,2025-04-28
194,119,1,5,2025-05-03
195,49,5,4,2025-05-05
196,296,1,5,2025-04-26
197,474,5,4,2025-04-28
198,350,3,4,2025-04-30
199,343,5,4,2025-05-06
200,239,3,4,2025-05-04
201,204,1,4,2025-05-01
202,414,5,5,2025-05-06
203,445,2,5,2025-05-09
204,95,2,4,2025-05-03
205,386,1,5,2025-05-04
206,78,4,4,2025-05-03
207,348,1,4,2025-05-04
208,91,1,2,2025-05-03
209,338,1,4,2025-05-02
210,283,5,3,2025-05-07
211,402,3,4,2025-05-11
212,146,1,4,2025-05-06
213,466,3,5,2025-05-05
214,89,1,4,2025-05-08
215,364,2,5,2025-05-08
216,166,5,3,2025-05-11
217,304,1,3,2025-05-11
218,324,4,3,2025-05-06
219,63,5,4,2025-05-07
220,408,5,5,2025-05-09
221,352,1,5,2025-05-10
222,315,1,4,2025-05-13
223,160,2,4,2025-05-15
224,130,2,4,2025-05-17
225,417,3,5,2025-05-13
226,178,2,4,2025-05-19
227,371,1,4,2025-05-13
228,189,1,5,2025-05-16
229,442,1,4,2025-05-14
230,339,1,5,2025-05-17
231,48,1,5,2025-05-20
232,233,5,5,2025-05-12
233,488,1,4,2025-05-17
234,382,3,5,2025-05-14
235,44,3,3,2025-05-16
236,171,1,5,2025-05-17
237,254,1,4,2025-05-17
238,306,4,4,2025-05-22
239,497,3,3,2025-05-18
240,269,3,4,2025-05-23
241,462,5,3,2025-05-17
242,328,3,4,2025-05-16
243,328,4,5,2025-05-21
244,348,5,5,2025-05-21
245,26,1,4,2025-05-24
246,284,3,4,2025-05-26
247,237,2,5,2025-05-25
248,72,1,4,2025-05-27
249,433,5,3,2025-05-23
250,448,2,4,2025-05-27
251,333,5,5,2025-05-26
252,155,1,4,2025-05-25
253,259,1,4,2025-05-28
254,95,1,3,2025-05-27
255,12,3,5,2025-05-29
256,380,4,4,2025-05-22
257,6,1,3,2025-05-31
258,371,5,5,2025-05-31
259,331,2,4,2025-05-30
260,166,4,4,2025-05-29
261,35,3,5,2025-05-28
262,55,5,5,2025-06-01
263,194,5,5,2025-05-28
264,252,3,5,2025-05-31
265,185,1,4,2025-06-01
266,200,5,3,2025-05-28
267,160,1,5,2025-05-31
268,281,2,4,2025-05-30
269,42,5,4,2025-06-06
270,14,5,3,2025-06-07
271,194,1,5,2025-06-07
272,225,2,4,2025-06-04
273,438,2,5,2025-06-04
274,23,3,5,2025-06-10
275,339,2,5,2025-06-01
276,386,2,4,2025-06-07
277,129,1,4,2025-06-07
278,435,5,5,2025-06-11
279,40,4,4,2025-06-07
280,500,1,4,2025-06-08
281,337,5,2,2025-06-08
282,323,5,4,2025-06-10
283,466,5,4,2025-06-14
284,4,5,5,2025-06-12
285,225,2,5,2025-06-16
286,297,2,3,2025-06-16
287,283,1,3,2025-06-19
288,422,3,3,2025-06-20
289,375,1,4,2025-06-13
290,135,5,5,2025-06-16
291,339,4,4,2025-06-19
292,126,3,4,2025-06-19
293,136,2,4,2025-06-19
294,68,3,4,2025-06-12
295,384,5,5,2025-06-13
296,364,2,5,2025-06-20
297,340,1,4,2025-06-15
298,114,3,4,2025-06-22
299,468,4,4,2025-06-16
300,441,1,4,2025-06-21
301,212,1,3,2025-06-14
302,259,5,3,2025-06-24
303,426,4,4,2025-06-21
304,201,5,3,2025-06-19
305,395,3,4,2025-06-25
306,407,1,3,2025-06-26
307,237,3,4,2025-06-27
308,7,2,5,2025-06-27
309,49,1,3,2025-06-30
310,287,3,4,2025-06-30
311,146,2,3,2025-06-27
312,320,5,4,2025-06-29
313,104,5,4,2025-06-27
314,135,1,5,2025-06-21
315,341,1,5,2025-06-23
316,202,2,5,2025-07-01
317,268,2,5,2025-06-30
318,239,2,3,2025-07-01
319,62,5,4,2025-06-25
320,432,3,3,2025-07-05
321,175,1,5,2025-06-28
322,46,5,5,2025-06-28
323,327,1,3,2025-06-29
324,429,1,4,2025-07-04
325,258,4,4,2025-07-04
326,108,4,4,2025-07-05
327,348,1,4,2025-07-05
328,497,1,5,2025-06-30
329,497,3,4,2025-07-07
330,189,1,5,2025-07-02
331,109,3,4,2025-07-11
332,197,1,3,2025-07-07
333,389,1,5,2025-07-12
334,447,1,4,2025-07-05
335,251,1,4,2025-07-04
336,111,3,5,2025-07-14
337,146,1,4,2025-07-14
338,305,3,4,2025-07-13
339,146,2,4,2025-07-14
340,68,3,4,2025-07-18
341,112,5,4,2025-07-14
342,55,3,5,2025-07-13
343,465,2,5,2025-07-11
344,97,3,3,2025-07-14
345,491,3,5,2025-07-20
346,31,4,5,2025-07-15
347,38,1,4,2025-07-22
348,14,1,4,2025-07-16
349,484,2,5,2025-07-21
350,374,1,3,2025-07-20
351,468,3,3,2025-07-23
352,404,1,5,2025-07-23
353,440,4,4,2025-07-25
354,312,3,5,2025-07-26
355,117,5,5,2025-07-23
356,452,4,3,2025-07-20
357,60,2,4,2025-07-23
358,176,3,4,2025-07-27
359,166,5,5,2025-07-25
360,313,4,4,2025-07-24
361,305,2,3,2025-07-27
362,500,5,4,2025-07-28
363,317,3,5,2025-07-28
364,57,1,3,2025-08-01
365,103,1,4,2025-07-27
366,171,1,4,2025-07-29
367,192,5,5,2025-07-31
368,151,5,5,2025-07-29
369,421,3,5,2025-08-06
370,489,5,4,2025-08-05
371,104,5,4,2025-08-04
372,182,4,4,2025-08-01
373,334,2,4,2025-08-04
374,200,5,4,2025-08-10
375,66,1,5,2025-08-07
376,34,1,4,2025-08-10
377,426,3,4,2025-08-09
378,453,3,4,2025-08-10
379,75,5,5,2025-08-11
380,177,2,5,2025-08-11
381,131,5,4,2025-08-13
382,224,1,5,2025-08-14
383,94,5,4,2025-08-09
384,244,2,3,2025-08-16
385,64,5,4,2025-08-20
386,160,4,3,2025-08-17
387,58,5,5,2025-08-22
388,444,2,4,2025-08-16
389,137,3,5,2025-08-19
390,295,3,5,2025-08-20
391,235,1,3,2025-08-22
392,47,2,4,2025-08-26
393,54,3,5,2025-08-24
394,315,4,4,2025-08-30
395,21,1,4,2025-08-24
396,115,1,4,2025-09-01
397,277,2,5,2025-08-24
398,360,5,5,2025-09-02
399,115,4,4,2025-09-02
400,255,3,5,2025-09-04
401,486,1,4,2025-09-05
402,276,5,3,2025-08-29
403,351,1,4,2025-08-30
404,130,2,5,2025-09-04
405,11,2,3,2025-08-29
406,396,1,3,2025-09-08
407,343,5,4,2025-09-07
408,13,2,5,2025-09-11
409,274,3,5,2025-09-06
410,105,5,3,2025-09-05
411,196,3,4,2025-09-07
412,124,3,5,2025-09-04
413,200,5,4,2025-09-12
414,73,2,5,2025-09-09
415,115,3,4,2025-09-07
416,35,1,3,2025-09-06
417,349,2,4,2025-09-11
418,246,1,4,2025-09-07
419,391,1,4,2025-09-06
420,379,1,3,2025-09-12
421,485,5,4,2025-09-15
422,337,1,5,2025-09-09
423,30,3,5,2025-09-16
424,369,1,4,2025-09-09
425,54,5,3,2025-09-08
426,413,5,5,2025-09-13
427,167,2,4,2025-09-12
428,365,1,5,2025-09-13
429,317,1,2,2025-09-12
430,334,1,4,2025-09-20
431,212,5,5,2025-09-15
432,106,2,3,2025-09-14
433,250,1,3,2025-09-16
434,472,1,4,2025-09-12
435,462,1,3,2025-09-15
436,34,4,4,2025-09-12
437,230,2,3,2025-09-20
438,469,1,4,2025-09-23
439,10,5,4,2025-09-20
440,178,2,4,2025-09-16
441,497,1,5,2025-09-18
442,63,5,3,2025-09-23
443,310,3,4,2025-09-18
444,102,1,5,2025-09-22
445,64,5,2,2025-09-21
446,4,1,5,2025-09-28
447,387,3,5,2025-09-23
448,135,3,3,2025-09-24
449,73,3,3,2025-09-26
450,404,2,4,2025-09-29
451,485,4,4,2025-09-26
452,73,5,5,2025-09-26
453,372,1,3,2025-09-27
454,320,3,5,2025-09-28
455,406,1,4,2025-09-29
456,248,3,4,2025-10-03
457,161,4,4,2025-10-02
458,454,3,4,2025-10-03
459,366,1,5,2025-10-04
460,212,4,5,2025-10-02
461,117,1,4,2025-09-26
462,213,1,4,2025-09-29
463,299,1,4,2025-09-27
464,469,1,4,2025-10-06
465,62,2,3,2025-09-28
466,412,2,4,2025-10-02
467,419,5,5,2025-10-04
468,40,4,4,2025-10-08
469,439,5,4,2025-10-03
470,289,3,5,2025-10-06
471,348,4,3,2025-10-05
472,345,5,5,2025-10-06
473,222,3,4,2025-10-04
474,22,4,4,2025-10-09
475,379,1,4,2025-10-13
476,375,4,5,2025-10-04
477,420,2,5,2025-10-09
478,55,3,4,2025-10-05
479,386,3,5,2025-10-09
480,484,1,4,2025-10-08
481,326,2,3,2025-10-06
482,164,1,3,2025-10-08
483,386,1,4,2025-10-11
484,195,5,5,2025-10-09
485,290,1,5,2025-10-12
486,300,5,5,2025-10-08
487,225,4,5,2025-10-17
488,460,4,4,2025-10-15
489,143,3,4,2025-10-18
490,135,2,5,2025-10-09
491,31,1,3,2025-10-12
492,441,5,5,2025-10-18
493,429,4,4,2025-10-12
494,144,4,4,2025-10-14
495,275,4,4,2025-10-20
496,173,3,4,2025-10-16
497,290,2,4,2025-10-19
498,417,3,5,2025-10-23
499,142,3,5,2025-10-16
500,58,1,5,2025-10-18
501,182,3,4,2025-10-16
502,2,5,3,2025-10-24
503,228,1,5,2025-10-18
504,195,4,4,2025-10-18
505,224,4,2,2025-10-21
506,316,3,4,2025-10-24
507,107,3,5,2025-10-23
508,48,4,4,2025-10-24
509,131,3,5,2025-10-19
510,469,1,5,2025-10-25
511,447,2,5,2025-10-24
512,92,1,4,2025-10-28
513,438,5,4,2025-10-23
514,68,1,4,2025-10-22
515,237,3,4,2025-10-25
516,148,1,5,2025-10-21
