id,id_client,id_service,service,frequence,nbr_article,date_rdv,heure_rdv,prix_total,statut
1,474,2,Nettoyage vitres,Ponctuelle,2,2025-01-01,15:00,50.0,Réalisé
2,103,1,Nettoyage voiture,Ponctuelle,1,2025-01-01,18:00,39.0,Réalisé
3,372,5,Nettoyage matelas,Mensuelle,1,2025-01-01,09:00,45.0,Réalisé
4,388,4,Nettoyage tapis,Ponctuelle,3,2025-01-01,14:00,87.0,Réalisé
5,309,3,Nettoyage canapé,Ponctuelle,1,2025-01-01,19:00,49.0,Annulé
6,233,5,Nettoyage matelas,Ponctuelle,2,2025-01-01,12:00,90.0,Réalisé
7,79,5,Nettoyage matelas,Ponctuelle,1,2025-01-02,12:00,45.0,Réalisé
8,267,3,Nettoyage canapé,Ponctuelle,3,2025-01-02,15:00,147.0,Réalisé
9,252,4,Nettoyage tapis,Ponctuelle,1,2025-01-02,18:00,29.0,Réalisé
10,10,3,Nettoyage canapé,Ponctuelle,3,2025-01-02,11:00,147.0,Annulé
11,197,1,Nettoyage voiture,Trimestrielle,1,2025-01-02,10:00,39.0,Réalisé
12,91,5,Nettoyage matelas,Ponctuelle,1,2025-01-02,08:00,45.0,Réalisé
13,252,5,Nettoyage matelas,Mensuelle,1,2025-01-02,14:00,45.0,Réalisé
14,292,2,Nettoyage vitres,Mensuelle,1,2025-01-02,13:00,25.0,Réalisé
15,244,3,Nettoyage canapé,Ponctuelle,2,2025-01-02,19:00,98.0,Réalisé
16,299,1,Nettoyage voiture,Mensuelle,1,2025-01-03,12:00,39.0,Réalisé
17,177,5,Nettoyage matelas,Ponctuelle,1,2025-01-03,15:00,45.0,Annulé
18,121,2,Nettoyage vitres,Ponctuelle,1,2025-01-03,17:00,25.0,Réalisé
19,157,3,Nettoyage canapé,Ponctuelle,4,2025-01-03,14:00,196.0,Réalisé
20,194,3,Nettoyage canapé,Trimestrielle,2,2025-01-04,11:00,98.0,Réalisé
21,354,2,Nettoyage vitres,Ponctuelle,1,2025-01-04,09:00,25.0,Réalisé
22,174,2,Nettoyage vitres,Mensuelle,2,2025-01-04,17:00,50.0,Réalisé
23,326,1,Nettoyage voiture,Ponctuelle,5,2025-01-04,14:00,195.0,Réalisé
24,148,4,Nettoyage tapis,Ponctuelle,3,2025-01-04,19:00,87.0,Réalisé
25,259,2,Nettoyage vitres,Mensuelle,1,2025-01-07,11:00,25.0,Réalisé
26,206,2,Nettoyage vitres,Ponctuelle,2,2025-01-07,17:00,50.0,Réalisé
27,452,3,Nettoyage canapé,Ponctuelle,2,2025-01-07,09:00,98.0,Réalisé
28,103,5,Nettoyage matelas,Ponctuelle,2,2025-01-08,19:00,90.0,Réalisé
29,154,1,Nettoyage voiture,Mensuelle,1,2025-01-08,16:00,39.0,Réalisé
30,325,2,Nettoyage vitres,Trimestrielle,3,2025-01-08,10:00,75.0,Réalisé
31,132,2,Nettoyage vitres,Ponctuelle,3,2025-01-08,15:00,75.0,Réalisé
32,15,1,Nettoyage voiture,Ponctuelle,1,2025-01-08,11:00,39.0,Réalisé
33,224,5,Nettoyage matelas,Ponctuelle,1,2025-01-08,13:00,45.0,Réalisé
34,161,4,Nettoyage tapis,Trimestrielle,1,2025-01-09,12:00,29.0,Réalisé
35,187,5,Nettoyage matelas,Ponctuelle,4,2025-01-09,10:00,180.0,Réalisé
36,432,5,Nettoyage matelas,Mensuelle,1,2025-01-09,08:00,45.0,Réalisé
37,268,1,Nettoyage voiture,Trimestrielle,2,2025-01-09,19:00,78.0,Réalisé
38,255,3,Nettoyage canapé,Ponctuelle,3,2025-01-09,16:00,147.0,Réalisé
39,226,1,Nettoyage voiture,Trimestrielle,1,2025-01-10,11:00,39.0,Réalisé
40,359,5,Nettoyage matelas,Ponctuelle,1,2025-01-10,17:00,45.0,Annulé
41,494,2,Nettoyage vitres,Mensuelle,1,2025-01-10,09:00,25.0,Réalisé
42,416,2,Nettoyage vitres,Ponctuelle,4,2025-01-11,16:00,100.0,Réalisé
